date, pm25
2022/1/4, 101
2022/1/5, 102
2022/1/6, 130
2022/1/7, 157
2022/1/8, 131
2022/1/9, 125
2022/1/10, 134
2022/1/11, 137
2022/1/12, 130
2022/1/13, 131
2022/1/15, 86
2022/1/16, 96
2022/1/17, 96
2022/1/18, 95
2022/1/19, 97
2022/1/20, 129
2022/1/21, 178
2021/10/2, 52
2021/10/3, 55
2021/10/4, 47
2021/10/5, 48
2021/10/6, 54
2021/10/7, 66
2021/10/8, 55
2021/10/9, 65
2021/10/10, 54
2021/10/11, 58
2021/10/12, 49
2021/10/13, 64
2021/10/14, 71
2021/10/15, 58
2021/10/16, 61
2021/10/17, 53
2021/10/18, 56
2021/10/19, 66
2021/10/22, 54
2021/10/23, 61
2021/10/24, 59
2021/10/25, 56
2021/10/26, 55
2021/10/27, 72
2021/10/28, 72
2021/10/29, 62
2021/10/30, 62
2021/10/31, 57
2021/11/1, 66
2021/11/2, 69
2021/11/3, 63
2021/11/4, 75
2021/11/5, 74
2021/11/6, 84
2021/11/7, 78
2021/11/8, 71
2021/11/10, 59
2021/11/11, 61
2021/11/12, 58
2021/11/13, 56
2021/11/14, 67
2021/11/15, 61
2021/11/16, 66
2021/11/17, 86
2021/11/18, 69
2021/11/19, 74
2021/11/20, 75
2021/11/21, 72
2021/11/22, 61
2021/11/23, 92
2021/11/24, 97
2021/11/25, 65
2021/11/26, 76
2021/11/27, 81
2021/11/28, 79
2021/11/29, 82
2021/11/30, 73
2021/12/1, 80
2021/12/2, 73
2021/12/3, 78
2021/12/4, 87
2021/12/5, 85
2021/12/6, 84
2021/12/7, 101
2021/12/8, 138
2021/12/9, 130
2021/12/10, 133
2021/12/11, 138
2021/12/12, 144
2021/12/13, 139
2021/12/14, 129
2021/12/15, 132
2021/12/16, 129
2021/12/17, 123
2021/12/18, 107
2021/12/19, 134
2021/12/20, 183
2021/12/21, 196
2021/12/22, 185
2021/12/23, 175
2021/12/24, 173
2021/12/25, 171
2021/12/26, 151
2021/12/27, 123
2021/12/28, 103
2021/12/29, 108
2021/12/30, 122
2021/12/31, 123
2022/1/1, 110
2022/1/2, 116
2022/1/3, 98
2021/7/2, 73
2021/7/3, 89
2021/7/4, 63
2021/7/5, 59
2021/7/6, 73
2021/7/7, 76
2021/7/8, 71
2021/7/9, 78
2021/7/10, 72
2021/7/11, 72
2021/7/12, 82
2021/7/13, 90
2021/7/14, 84
2021/7/15, 87
2021/7/16, 87
2021/7/17, 77
2021/7/18, 70
2021/7/19, 74
2021/7/20, 84
2021/7/21, 73
2021/7/22, 73
2021/7/23, 77
2021/7/24, 68
2021/7/25, 61
2021/7/26, 60
2021/7/27, 67
2021/7/28, 78
2021/7/29, 81
2021/7/30, 104
2021/8/4, 67
2021/8/5, 80
2021/8/6, 79
2021/8/7, 88
2021/8/8, 86
2021/8/9, 73
2021/8/10, 83
2021/8/11, 78
2021/8/12, 81
2021/8/13, 68
2021/8/23, 75
2021/8/24, 73
2021/8/25, 56
2021/8/26, 56
2021/8/27, 58
2021/8/28, 60
2021/8/29, 60
2021/8/30, 66
2021/8/31, 56
2021/9/1, 63
2021/9/2, 53
2021/9/3, 52
2021/9/4, 59
2021/9/5, 62
2021/9/6, 51
2021/9/13, 60
2021/9/14, 59
2021/9/15, 59
2021/9/16, 65
2021/9/17, 61
2021/9/18, 65
2021/9/19, 53
2021/9/20, 53
2021/9/21, 66
2021/9/22, 63
2021/9/23, 61
2021/9/24, 64
2021/9/25, 75
2021/9/30, 41
2021/10/1, 54
2021/4/2, 143
2021/4/3, 154
2021/4/4, 157
2021/4/5, 134
2021/4/6, 107
2021/4/7, 101
2021/4/8, 90
2021/4/9, 81
2021/4/10, 75
2021/4/11, 77
2021/4/12, 63
2021/4/13, 66
2021/4/14, 61
2021/4/15, 59
2021/4/16, 59
2021/4/17, 61
2021/4/18, 72
2021/4/19, 61
2021/4/20, 51
2021/4/21, 52
2021/4/22, 56
2021/4/23, 65
2021/4/24, 75
2021/4/25, 62
2021/4/26, 56
2021/4/27, 53
2021/4/28, 57
2021/4/29, 70
2021/4/30, 71
2021/5/1, 66
2021/5/2, 60
2021/5/3, 57
2021/5/4, 61
2021/5/5, 75
2021/5/6, 69
2021/5/7, 58
2021/5/8, 53
2021/5/9, 63
2021/5/10, 71
2021/5/11, 38
2021/5/12, 46
2021/5/13, 48
2021/5/14, 50
2021/5/15, 45
2021/5/16, 54
2021/5/17, 51
2021/5/18, 47
2021/5/19, 57
2021/5/20, 64
2021/5/21, 61
2021/5/22, 46
2021/5/23, 57
2021/5/24, 71
2021/5/25, 44
2021/5/26, 66
2021/5/27, 66
2021/5/28, 62
2021/5/29, 63
2021/5/30, 61
2021/5/31, 65
2021/6/1, 65
2021/6/2, 56
2021/6/3, 58
2021/6/4, 57
2021/6/5, 68
2021/6/6, 65
2021/6/7, 44
2021/6/8, 60
2021/6/9, 76
2021/6/10, 83
2021/6/11, 42
2021/6/12, 60
2021/6/13, 59
2021/6/14, 60
2021/6/15, 48
2021/6/16, 66
2021/6/17, 64
2021/6/18, 68
2021/6/19, 65
2021/6/20, 63
2021/6/23, 65
2021/6/24, 69
2021/6/25, 74
2021/6/26, 77
2021/6/27, 67
2021/6/28, 53
2021/6/29, 62
2021/6/30, 61
2021/7/1, 76
2021/1/5, 99
2021/1/6, 97
2021/1/7, 90
2021/1/8, 80
2021/1/9, 79
2021/1/10, 76
2021/1/11, 77
2021/1/12, 82
2021/1/13, 81
2021/1/14, 83
2021/1/15, 83
2021/1/16, 71
2021/1/17, 81
2021/1/18, 96
2021/1/19, 92
2021/1/20, 84
2021/1/21, 76
2021/1/22, 79
2021/1/23, 100
2021/1/24, 135
2021/1/25, 162
2021/1/26, 189
2021/1/27, 182
2021/1/28, 157
2021/1/29, 123
2021/1/30, 115
2021/1/31, 117
2021/2/1, 103
2021/2/2, 100
2021/2/3, 107
2021/2/4, 106
2021/2/5, 109
2021/2/6, 109
2021/2/7, 105
2021/2/8, 94
2021/2/9, 95
2021/2/10, 88
2021/2/11, 96
2021/2/12, 97
2021/2/13, 98
2021/2/14, 91
2021/2/15, 80
2021/2/16, 78
2021/2/17, 74
2021/2/18, 88
2021/2/19, 80
2021/2/20, 80
2021/2/21, 121
2021/2/22, 108
2021/2/23, 114
2021/2/24, 137
2021/2/25, 129
2021/2/26, 128
2021/2/27, 109
2021/2/28, 102
2021/3/1, 80
2021/3/2, 103
2021/3/3, 110
2021/3/4, 96
2021/3/5, 98
2021/3/6, 108
2021/3/7, 99
2021/3/8, 93
2021/3/9, 82
2021/3/10, 79
2021/3/11, 83
2021/3/12, 85
2021/3/13, 75
2021/3/14, 79
2021/3/15, 94
2021/3/16, 95
2021/3/17, 60
2021/3/18, 74
2021/3/19, 91
2021/3/20, 104
2021/3/21, 92
2021/3/22, 70
2021/3/23, 75
2021/3/24, 65
2021/3/25, 64
2021/3/26, 68
2021/3/27, 76
2021/3/28, 58
2021/3/29, 74
2021/3/30, 117
2021/3/31, 111
2021/4/1, 121
2020/10/2, 50
2020/10/3, 52
2020/10/4, 52
2020/10/5, 43
2020/10/6, 58
2020/10/7, 55
2020/10/8, 63
2020/10/9, 60
2020/10/10, 53
2020/10/11, 48
2020/10/12, 42
2020/10/13, 55
2020/10/14, 51
2020/10/15, 55
2020/10/16, 59
2020/10/17, 56
2020/10/18, 58
2020/10/19, 52
2020/10/20, 53
2020/10/21, 53
2020/10/22, 61
2020/10/23, 55
2020/10/24, 56
2020/10/25, 63
2020/10/26, 71
2020/10/27, 81
2020/10/28, 67
2020/10/29, 75
2020/10/30, 74
2020/10/31, 76
2020/11/1, 64
2020/11/2, 64
2020/11/3, 73
2020/11/4, 83
2020/11/5, 82
2020/11/6, 84
2020/11/7, 74
2020/11/8, 73
2020/11/9, 69
2020/11/10, 72
2020/11/11, 68
2020/11/12, 81
2020/11/13, 82
2020/11/14, 88
2020/11/15, 85
2020/11/16, 84
2020/11/17, 90
2020/11/18, 91
2020/11/19, 92
2020/11/20, 94
2020/11/21, 86
2020/11/22, 87
2020/11/23, 89
2020/11/24, 76
2020/11/25, 77
2020/11/26, 84
2020/11/27, 74
2020/11/28, 80
2020/11/29, 75
2020/11/30, 70
2020/12/1, 74
2020/12/2, 74
2020/12/3, 75
2020/12/4, 71
2020/12/5, 80
2020/12/6, 62
2020/12/7, 69
2020/12/8, 72
2020/12/9, 87
2020/12/10, 83
2020/12/11, 80
2020/12/12, 79
2020/12/13, 73
2020/12/14, 81
2020/12/15, 77
2020/12/16, 88
2020/12/17, 80
2020/12/18, 82
2020/12/19, 82
2020/12/20, 80
2020/12/21, 80
2020/12/22, 102
2020/12/23, 98
2020/12/24, 115
2020/12/25, 117
2020/12/26, 106
2020/12/27, 95
2020/12/28, 101
2020/12/29, 116
2020/12/30, 113
2020/12/31, 123
2021/1/1, 136
2021/1/2, 144
2021/1/3, 125
2021/1/4, 101
2020/7/2, 65
2020/7/3, 63
2020/7/4, 70
2020/7/5, 66
2020/7/6, 77
2020/7/7, 76
2020/7/8, 80
2020/7/9, 75
2020/7/10, 90
2020/7/11, 94
2020/7/12, 82
2020/7/13, 84
2020/7/14, 78
2020/7/15, 65
2020/7/16, 65
2020/7/17, 61
2020/7/18, 67
2020/7/19, 69
2020/7/20, 64
2020/7/21, 58
2020/7/22, 64
2020/7/23, 76
2020/7/24, 78
2020/7/25, 71
2020/7/26, 81
2020/7/27, 91
2020/7/28, 81
2020/7/29, 76
2020/7/30, 75
2020/7/31, 66
2020/8/1, 62
2020/8/2, 63
2020/8/3, 65
2020/8/4, 71
2020/8/5, 77
2020/8/6, 59
2020/8/7, 65
2020/8/8, 57
2020/8/9, 79
2020/8/10, 71
2020/8/11, 69
2020/8/12, 68
2020/8/13, 80
2020/8/14, 84
2020/8/15, 75
2020/8/16, 70
2020/8/17, 76
2020/8/18, 70
2020/8/19, 76
2020/8/20, 72
2020/8/21, 78
2020/8/22, 76
2020/8/23, 68
2020/8/24, 62
2020/8/25, 72
2020/8/26, 66
2020/8/27, 71
2020/8/28, 67
2020/8/29, 72
2020/8/30, 69
2020/8/31, 70
2020/9/1, 72
2020/9/2, 67
2020/9/3, 64
2020/9/4, 62
2020/9/5, 52
2020/9/6, 63
2020/9/7, 56
2020/9/8, 52
2020/9/9, 47
2020/9/10, 60
2020/9/11, 55
2020/9/12, 55
2020/9/13, 56
2020/9/14, 47
2020/9/15, 57
2020/9/16, 67
2020/9/17, 65
2020/9/18, 68
2020/9/19, 64
2020/9/20, 63
2020/9/21, 63
2020/9/22, 66
2020/9/23, 61
2020/9/24, 57
2020/9/25, 67
2020/9/26, 64
2020/9/27, 53
2020/9/28, 54
2020/9/29, 54
2020/9/30, 47
2020/10/1, 52
2020/4/2, 77
2020/4/3, 78
2020/4/4, 75
2020/4/5, 66
2020/4/6, 69
2020/4/7, 60
2020/4/8, 70
2020/4/9, 54
2020/4/10, 57
2020/4/11, 60
2020/4/12, 66
2020/4/13, 64
2020/4/14, 64
2020/4/15, 61
2020/4/16, 67
2020/4/17, 75
2020/4/18, 76
2020/4/19, 66
2020/4/20, 59
2020/4/21, 50
2020/4/22, 59
2020/4/23, 72
2020/4/24, 79
2020/4/25, 60
2020/4/26, 58
2020/4/27, 69
2020/4/28, 63
2020/4/29, 43
2020/4/30, 56
2020/5/1, 64
2020/5/2, 81
2020/5/3, 62
2020/5/4, 54
2020/5/5, 64
2020/5/6, 66
2020/5/7, 66
2020/5/8, 63
2020/5/9, 62
2020/5/10, 56
2020/5/11, 66
2020/5/12, 54
2020/5/13, 64
2020/5/14, 49
2020/5/15, 44
2020/5/16, 58
2020/5/17, 57
2020/5/18, 55
2020/5/19, 55
2020/5/20, 62
2020/5/21, 58
2020/5/22, 73
2020/5/23, 68
2020/5/24, 73
2020/5/25, 68
2020/5/26, 59
2020/5/27, 54
2020/5/28, 63
2020/5/29, 53
2020/5/30, 69
2020/5/31, 64
2020/6/1, 40
2020/6/2, 53
2020/6/3, 73
2020/6/4, 83
2020/6/5, 64
2020/6/6, 66
2020/6/7, 64
2020/6/8, 55
2020/6/9, 57
2020/6/10, 52
2020/6/11, 55
2020/6/12, 44
2020/6/13, 57
2020/6/14, 64
2020/6/15, 61
2020/6/16, 76
2020/6/17, 68
2020/6/18, 68
2020/6/19, 76
2020/6/20, 75
2020/6/21, 75
2020/6/22, 62
2020/6/23, 69
2020/6/24, 81
2020/6/25, 79
2020/6/26, 73
2020/6/27, 66
2020/6/28, 56
2020/6/29, 62
2020/6/30, 57
2020/7/1, 59
2020/3/30, 81
2020/3/31, 67
2020/4/1, 56